Aek Godang Airport,1.400099993,99.43049622,922,AS,ID,ID-SU,Padang Sidempuan-Sumatra Island,WIME,AEG,
Aerotortuguero Airport,10.56900024,-83.51480103,82,NA,CR,CR-L,Roxana,MRAO,TTQ,
Afyon Airport,38.72639847,30.60110092,3310,AS,TR,TR-03,Afyonkarahisar,LTAH,AFY,
Agartala Airport,23.88699913,91.24040222,46,AS,IN,IN-TR,Agartala,VEAT,IXA,
Agatti Airport,10.82369995,72.1760025,14,AS,IN,IN-LD,,VOAT,AGX,
Agen-La Garenne Airport,44.17470169,0.590556026,204,EU,FR,FR-B,Agen/La Garenne,LFBA,AGF,
Aggeneys Airport,-29.28179932,18.81389999,2648,AF,ZA,ZA-NC,Aggeneys,FAAG,AGZ,
Aghajari Airport,30.74440002,49.67720032,88,AS,IR,IR-10,"Aghajari,",OIAG,AKW,
Agra Airport,27.15579987,77.96089935,551,AS,IN,IN-UP,,VIAG,AGR,
Aguas Claras Airport,8.31506,-73.3583,3850,SA,CO,CO-NSA,Ocaña,SKOC,OCV,OCV
Aguenar – Hadj Bey Akhamok Airport,22.81150055,5.451079845,4518,AF,DZ,DZ-11,Tamanrasset,DAAT,TMR,
Ahe Airport,-14.42809963,-146.2570038,11,OC,PF,PF-U-A,Ahe Atoll,NTHE,AHE,
Ahmed Al Jaber Air Base,28.93479919,47.79190063,409,AS,KW,KW-AH,Ahmed Al Jaber AB,OKAJ,XIJ,
Ahwaz Airport,31.33740044,48.76200104,66,AS,IR,IR-10,Ahwaz,OIAW,AWZ,
Ain Arnat Airport,36.17810059,5.32449007,3360,AF,DZ,DZ-19,Sétif,DAAS,QSF,
Ain el Beida Airport,31.91720009,5.412779808,492,AF,DZ,DZ-30,Ouargla,DAUU,OGX,
Ajaccio-Napoléon Bonaparte Airport,41.92359924,8.802920341,18,EU,FR,FR-H,Ajaccio/Napoléon Bonaparte,LFKJ,AJA,
Akanu Ibiam International Airport,6.474269867,7.56196022,466,AF,NG,NG-EN,Enegu,DNEN,ENU,
Akhisar Airport,38.80889893,27.83390045,263,AS,TR,TR-45,,LTBT,,
Akhtubinsk Air Base,48.3085,46.2365,,EU,RU,RU-AST,Akhtubinsk,,,
Akita Airport,39.61560059,140.2189941,313,AS,JP,JP-05,Akita,RJSK,AXT,
Aklavik Airport,68.22329712,-135.0059967,23,NA,CA,CA-NT,Aklavik,CYKD,LAK,
Akola Airport,20.6989994,77.05860138,999,AS,IN,IN-MM,,VAAK,AKD,
Akron Canton Regional Airport,40.91609955,-81.44219971,1228,NA,US,US-OH,Akron,KCAK,CAK,CAK
Akron Fulton International Airport,41.03749847,-81.46690369,1067,NA,US,US-OH,Akron,KAKR,AKC,AKR
Aksu Airport,41.26250076,80.29170227,,AS,CN,CN-65,Aksu,ZWAK,AKU,
Aktau Airport,43.86009979,51.09199905,73,AS,KZ,KZ-MAN,Aktau,UATE,SCO,
Aktion National Airport,38.92549896,20.76530075,11,EU,GR,GR-34,Preveza/Lefkada,LGPZ,PVK,
Aktobe Airport,50.24580002,57.20669937,738,AS,KZ,KZ-AKT,Aktyuinsk,UATT,AKX,
Akulivik Airport,60.8185997,-78.14859772,75,NA,CA,CA-QC,Akulivik,CYKO,AKV,
Akure Airport,7.246739864,5.301010132,1100,AF,NG,NG-ON,Akure,DNAK,AKR,
Akureyri Airport,65.66000366,-18.0727005,6,EU,IS,IS-6,Akureyri,BIAR,AEY,
Akıncı Air Base,40.07889938,32.56560135,2767,AS,TR,TR-06,Ankara,LTAE,,
Al Ahsa Airport,25.2852993,49.48519897,588,AS,SA,SA-04,,OEAH,HOF,
Al Ain International Airport,24.26169968,55.60919952,869,AS,AE,AE-AZ,Al Ain,OMAL,AAN,
Al Anad Air Base,13.17469978,44.76509857,900,AS,YE,YE-LA,,,,
Al Asad Air Base,33.78559875,42.44120026,618,AS,IQ,IQ-AN,Hīt,ORAA,IQA,
Al Baha Airport,20.29610062,41.63430023,5486,AS,SA,SA-11,,OEBA,ABT,
Al Bumbah North Air Base,32.45289993,23.11860085,33,AF,LY,LY-DR,,,,
Al Dhafra Air Base,24.24819946,54.54769897,77,AS,AE,AE-AZ,,OMAM,DHF,
Al Ghaidah International Airport,16.19169998,52.17499924,134,AS,YE,YE-MR,,OYGD,AAY,
Al Massira Airport,30.32500076,-9.413069725,250,AF,MA,MA-AGD,Agadir,GMAD,AGA,
Al Minhad Air Base,25.02680016,55.36619949,165,AS,AE,AE-DU,Dubai,OMDM,NHD,
Al Qusayr Air Base,34.56909943,36.57279968,1768,AS,SY,SY-HI,Al-Qusayr,,,
Al Sahra Army Air Field,34.6731987,43.54299927,451,AS,IQ,IQ-SD,Tikrit,ORSH,,
Al Taji Army Air Field,33.52389908,44.25669861,121,AS,IQ,IQ-BG,Taji,ORTI,,
Al Taqaddum Air Base,33.33810043,43.5970993,275,AS,IQ,IQ-AN,Al Habbaniyah,ORAT,,
Al Udeid Air Base,25.11730003,51.31499863,130,AS,QA,QA-RA,Ar Rayyan,OTBH,XJD,
Al Wajh Domestic Airport,26.19860077,36.47639847,66,AS,SA,SA-07,Al Wajh,OEWJ,EJH,
Al-Jawf Domestic Airport,29.78510094,40.09999847,2261,AS,SA,SA-12,Al-Jawf,OESK,AJF,
Alakurtti Naval Air Base,66.97333527,30.34499931,538,EU,RU,RU-MUR,Alakurtti,,,
Alama Iqbal International Airport,31.52160072,74.4036026,712,AS,PK,PK-PB,Lahore,OPLA,LHE,
Alamogordo White Sands Regional Airport,32.83990097,-105.9909973,4200,NA,US,US-NM,Alamogordo,KALM,ALM,ALM
Alashankou Bole (Bortala) airport,44.895,82.3,1253,AS,CN,CN-65,Bole,ZWBL,BPL,
Albacete-Los Llanos Airport,38.94850159,-1.863520026,2302,EU,ES,ES-CM,Albacete,LEAB,ABC,
Albany Airport,-34.94329834,117.8089981,233,OC,AU,AU-WA,Albany,YABA,ALH,
Albany International Airport,42.74829865,-73.80169678,285,NA,US,US-NY,Albany,KALB,ALB,ALB
Albert J Ellis Airport,34.82920074,-77.61209869,94,NA,US,US-NC,Jacksonville,KOAJ,OAJ,OAJ
Alberto Alcolumbre Airport,0.050664,-51.07220078,56,SA,BR,BR-AP,Macapá,SBMQ,MCP,
Alberto Carnevalli Airport,8.58207798,-71.16104126,5007,SA,VE,VE-L,Mérida,SVMD,MRD,
Alberto Delgado Airport,21.78829956,-79.99720001,125,NA,CU,CU-07,Trinidad,MUTD,TND,
Albi-Le Séquestre Airport,43.91389847,2.113059998,564,EU,FR,FR-N,Albi/Le Séquestre,LFCI,LBI,
Albury Airport,-36.06779861,146.9579926,539,OC,AU,AU-NSW,Albury,YMAY,ABX,
Alcantarilla Airport,37.9510994,-1.230319977,250,EU,ES,ES-MU,Alcantarilla,LERI,,
Alderney Airport,49.70610046,-2.214720011,290,EU,GG,GG-U-A,Saint Anne,EGJA,ACI,
Aleknagik / New Airport,59.2826004,-158.6179962,66,NA,US,US-AK,Aleknagik,5A8,WKK,5A8
Alert Airport,82.51779938,-62.2806015,100,NA,CA,CA-NU,Alert,CYLT,YLT,
Alert Bay Airport,50.5821991,-126.9160004,240,NA,CA,CA-BC,Alert Bay,CYAL,YAL,
Alessandria Airport,44.92520142,8.6251297,299,EU,IT,IT-21,Alessandria,LILA,,
Alexander Bay Airport,-28.57500076,16.5333004,98,AF,ZA,ZA-NC,Alexander Bay,FAAB,ALJ,
Alexander the Great International Airport,40.91329956,24.61919975,18,EU,GR,GR-55,Kavala,LGKV,KVA,
Alexandra Airport,-45.21170044,169.3730011,752,OC,NZ,NZ-OTA,Alexandra,NZLX,ALR,
Alexandria International Airport,31.32740021,-92.54979706,89,NA,US,US-LA,Alexandria,KAEX,AEX,AEX
Alferez Fap David Figueroa Fernandini Airport,-9.878809929,-76.20480347,6070,SA,PE,PE-HUC,Huánuco,SPNC,HUU,
Alfonso Bonilla Aragon International Airport,3.54322,-76.3816,3162,SA,CO,CO-VAC,Cali,SKCL,CLO,CLO
Alfonso López Pumarejo Airport,10.435,-73.2495,483,SA,CO,CO-CES,Valledupar,SKVP,VUP,VUP
Alfredo Vásquez Cobo International Airport,-4.19355,-69.9432,277,SA,CO,CO-AMA,Leticia,SKLT,LET,LET
Alghero-Fertilia Airport,40.63209915,8.290769577,87,EU,IT,IT-88,Alghero,LIEA,AHO,
Ali Air Base,30.93580055,46.09009933,20,AS,IQ,IQ-DQ,Nasiriyah,ORTL,,
Ali Al Salem Air Base,29.34670067,47.52080154,472,AS,KW,KW-JA,,OKAS,,
Alice International Airport,27.74090004,-98.02690125,178,NA,US,US-TX,Alice,KALI,ALI,ALI
Alice Springs Airport,-23.80669975,133.9019928,1789,OC,AU,AU-NT,Alice Springs,YBAS,ASP,
Allah Valley Airport,6.366819859,124.7509995,659,AS,PH,PH-SCO,Surallah,RPMA,AAV,
Allahabad Airport,25.44009972,81.73390198,322,AS,IN,IN-UP,Allahabad,VIAL,IXD,
Allegheny County Airport,40.35440063,-79.93019867,1252,NA,US,US-PA,Pittsburgh,KAGC,AGC,AGC
Allen Army Airfield,63.99449921,-145.7220001,1291,NA,US,US-AK,Delta Junction Ft Greely,PABI,BIG,BIG
Alma Airport,48.50889969,-71.64189911,445,NA,CA,CA-QC,Alma,CYTF,YTF,
Almaza Air Force Base,30.09180069,31.36000061,300,AF,EG,EG-C,Cairo,HEAZ,,
Almería International Airport,36.84389877,-2.370100021,70,EU,ES,ES-AN,Almería,LEAM,LEI,
Almirante Marco Andres Zar Airport,-43.2105,-65.2703,141,SA,AR,AR-U,Rawson,SAVT,REL,TRE
Almirante Padilla Airport,11.5262,-72.926,43,SA,CO,CO-LAG,Riohacha,SKRH,RCH,RCH
Along Airport,28.1753006,94.80200195,900,AS,IN,IN-AR,,VEAN,IXV,
Alonso Valderrama Airport,7.987840176,-80.40969849,33,NA,PA,PA-6,Chitré,MPCE,CTD,
Alpena County Regional Airport,45.0780983,-83.56030273,690,NA,US,US-MI,Alpena,KAPN,APN,APN
Alpha Airport,-23.64609909,146.5839996,1255,OC,AU,AU-QLD,,YAPH,ABH,
Alpnach Air Base,46.94390106,8.284170151,1460,EU,CH,CH-OW,Alpnach,LSMA,,
Alta Airport,69.97609711,23.37170029,9,EU,NO,NO-20,Alta,ENAT,ALF,
Alta Floresta Airport,-9.866389275,-56.10499954,948,SA,BR,BR-MT,Alta Floresta,SBAT,AFL,
Altai Airport,46.37639999,96.22109985,7260,AS,MN,MN-065,Altai,ZMAT,LTI,
Altamira Airport,-3.253910065,-52.25400162,369,SA,BR,BR-PA,Altamira,SBHT,ATM,
Altay Air Base,47.74988556,88.0858078,2460,AS,CN,CN-65,Altay,ZWAT,AAT,
Altenburg-Nobitz Airport,50.98194504,12.50638866,640,EU,DE,DE-TH,Altenburg,EDAC,AOC,
Altoona Blair County Airport,40.29639816,-78.31999969,1503,NA,US,US-PA,Altoona,KAOO,AOO,AOO
Alverca Airport,38.88330078,-9.030099869,11,EU,PT,PT-11,,LPAR,,
Alès-Deaux Airport,44.06969833,4.142119884,668,EU,FR,FR-K,Alès/Deaux,LFMS,XAS,
Amado Nervo National Airport,21.41950035,-104.8430023,3020,NA,MX,MX-NAY,Tepic,MMEP,TPQ,
Amami Airport,28.43059921,129.7129974,27,AS,JP,JP-46,Amami,RJKA,ASJ,
Amasya Merzifon Airport,40.82939911,35.52199936,1758,AS,TR,TR-05,Amasya,LTAP,MZH,
Ambala Air Force Station,30.36809921,76.8167038,909,AS,IN,IN-HR,,VIAM,,VI18
Ambalabe Airport,-14.8987999,47.9939003,92,AF,MG,MG-M,Antsohihy,FMNW,WAI,
Ambler Airport,67.10630035,-157.8569946,334,NA,US,US-AK,Ambler,PAFM,ABL,AFM
Amborovy Airport,-15.66684174,46.35123253,87,AF,MG,MG-M,,FMNM,MJN,
Amboseli Airport,-2.645050049,37.25310135,3755,AF,KE,KE-700,Amboseli National Park,HKAM,ASV,
Ambérieu Airport (BA 278),45.98730087,5.328440189,823,EU,FR,FR-V,Ambérieu,LFXA,,
Amderma Airport,69.76329803,61.5564003,13,AS,RU,RU-NEN,Amderma,ULDD,AMV,
Amendola Airport,41.54140091,15.71809959,183,EU,IT,IT-75,Foggia,LIBA,,
Amiens-Glisy Airport,49.8730011,2.387069941,208,EU,FR,FR-S,Amiens/Glisy,LFAY,QAM,
Amman-Marka International Airport,31.97270012,35.99160004,2555,AS,JO,JO-AM,Amman,OJAM,ADJ,
Amos Magny Airport,48.56389999,-78.24970245,1068,NA,CA,CA-QC,Amos,CYEY,YEY,
Ampara Airport,7.33776,81.62594,150,AS,LK,LK-5,Ampara,VCCG,ADP,
Amílcar Cabral International Airport,16.74139977,-22.94939995,177,AF,CV,CV-B,Espargos,GVAC,SID,
An Nasiriyah Air Base,33.91899872,36.86660004,2727,AS,SY,SY-DI,,,,
Anaa Airport,-17.3526001,-145.5099945,10,OC,PF,PF-U-A,,NTGA,AAA,
Anaco Airport,9.430225372,-64.47072601,721,SA,VE,VE-B,Anaco,SVAN,AAO,
Anadolu University Airport,39.80989838,30.51939964,2588,AS,TR,TR-26,Eskişehir,LTBY,AOE,
Anaktuvuk Pass Airport,68.13359833,-151.7429962,2102,NA,US,US-AK,Anaktuvuk Pass,PAKP,AKP,AKP
Analalava Airport,-14.62969971,47.76380157,345,AF,MG,MG-M,,FMNL,HVA,
Anapa Airport,45.0021019,37.34730148,174,EU,RU,RU-KDA,Anapa,URKA,AAQ,
Ancona Falconara Airport,43.61629868,13.36229992,49,EU,IT,IT-57,Ancona,LIPY,AOI,
Andapa Airport,-14.65170002,49.62060165,1552,AF,MG,MG-D,,FMND,ZWA,
Andersen Air Force Base,13.58399963,144.9299927,627,OC,GU,GU-U-A,"Andersen,Mariana Island",PGUA,UAM,UAM
Anderson Regional Airport,34.49459839,-82.70939636,782,NA,US,US-SC,Anderson,KAND,AND,AND
Andravida Airport,37.92070007,21.29260063,55,EU,GR,GR-14,Andravida,LGAD,PYR,
Andreapol Air Base,56.6432991,32.31330109,,EU,RU,RU-TVE,Andreapol,,,
Andros Town Airport,24.69790077,-77.79560089,5,NA,BS,BS-NB,,MYAF,ASD,
Andøya Airport,69.29250336,16.14419937,43,EU,NO,NO-18,Andenes,ENAN,ANX,
Angads Airport,34.78720093,-1.923990011,1535,AF,MA,MA-OUJ,Oujda,GMFO,OUD,
Angel Albino Corzo International Airport,16.56360054,-93.02249908,1499,NA,MX,MX-CHP,Tuxtla Gutiérrez,MMTG,TGZ,TGZ
Angel S Adami Airport,-34.78919983,-56.26470184,174,SA,UY,UY-MO,Montevideo,SUAA,,
Angelina County Airport,31.23399925,-94.75,296,NA,US,US-TX,Lufkin,KLFK,LFK,LFK
Angers-Loire Airport,47.56029892,-0.312222004,194,EU,FR,FR-R,Angers/Marcé,LFJR,ANE,
Anglesey Airport,53.24810028,-4.535339832,37,EU,GB,GB-WLS,Angelsey,EGOV,VLY,
Angoulême-Brie-Champniers Airport,45.72919846,0.221456006,436,EU,FR,FR-T,Angoulême/Brie/Champniers,LFBU,ANG,
Aniak Airport,61.58160019,-159.5429993,88,NA,US,US-AK,Aniak,PANI,ANI,ANI
Annaba Airport,36.82220078,7.809169769,16,AF,DZ,DZ-36,Annabah,DABB,AAE,
Annecy-Haute-Savoie-Mont Blanc Airport,45.92919922,6.098760128,1521,EU,FR,FR-V,Annecy/Meythet,LFLP,NCY,
Annemasse Airport,46.19200134,6.268390179,1620,EU,FR,FR-V,Annemasse,LFLI,QNJ,
Annette Island Airport,55.04240036,-131.5720062,119,NA,US,US-AK,Annette,PANT,ANN,ANN
Anniston Metropolitan Airport,33.58819962,-85.85810089,612,NA,US,US-AL,Anniston,KANB,ANB,ANB
Anqing Airport,30.5821991,117.0500031,,AS,CN,CN-34,Anqing,ZSAQ,AQG,
Anshan Air Base,41.1053009,122.8539963,,AS,CN,CN-21,Anshan,ZYAS,AOG,
Anshun Huangguoshu Airport,26.26055556,105.8733333,4812,AS,CN,CN-U-A,Anshun,ZUAS,AVA,
Antonio Maceo International Airport,19.96980095,-75.83540344,249,NA,CU,CU-13,Santiago,MUCU,SCU,
Antonio Narino Airport,1.39625,-77.2915,5951,SA,CO,CO-NAR,Pasto,SKPS,PSO,PSO
Antonio Nery Juarbe Pol Airport,18.45000076,-66.6753006,23,NA,PR,PR-U-A,Arecibo,TJAB,ARE,ABO
Antonio Roldan Betancourt Airport,7.81196,-76.7164,46,SA,CO,CO-ANT,Carepa,SKLC,APO,APO
Antsirabato Airport,-14.99940014,50.32020187,20,AF,MG,MG-D,,FMNH,ANM,
Antwerp International Airport (Deurne),51.18939972,4.460279942,39,EU,BE,BE-VAN,Antwerp,EBAW,ANR,
Anuradhapura Air Force Base,8.30148983,80.42790222,324,AS,LK,LK-7,Anuradhapura,VCCA,ACJ,
Anvik Airport,62.64670181,-160.1909943,291,NA,US,US-AK,Anvik,PANV,ANV,ANV
Aomori Airport,40.73469925,140.6909943,664,AS,JP,JP-02,Aomori,RJSA,AOJ,
Aosta Airport,45.73849869,7.368720055,1791,EU,IT,IT-23,Aosta,LIMW,AOT,
Aqaba King Hussein International Airport,29.61160088,35.01810074,175,AS,JO,JO-AQ,Aqaba,OJAQ,AQJ,
Arad International Airport,46.17660141,21.26199913,352,EU,RO,RO-AR,Arad,LRAR,ARW,
Arandis Airport,-22.46220016,14.97999954,1905,AF,NA,NA-ER,Arandis,FYAR,ADI,
Arar Domestic Airport,30.90660095,41.13819885,1813,AS,SA,SA-08,Arar,OERR,RAE,
Araraquara Airport,-21.81200027,-48.13299942,2334,SA,BR,BR-SP,Araraquara,SBAQ,AQA,
Ararat Airport,-37.30939865,142.9889984,1008,OC,AU,AU-VIC,,YARA,ARY,
Araxos Airport,38.15110016,21.42560005,46,EU,GR,GR-13,Patras,LGRX,GPA,
Araçatuba Airport,-21.1413002,-50.42470169,1361,SA,BR,BR-SP,Araçatuba,SBAU,ARU,
Arba Minch Airport,6.039390087,37.59049988,3901,AF,ET,ET-SN,,HAAM,AMH,
Arcachon-La Teste-de-Buch Airport,44.59640121,-1.110829949,49,EU,FR,FR-B,Arcachon/La Teste-de-Buch,LFCH,XAC,
Arcata Airport,40.97809982,-124.1090012,221,NA,US,US-CA,Arcata/Eureka,KACV,ACV,ACV
Arctic Village Airport,68.11470032,-145.5789948,2092,NA,US,US-AK,Arctic Village,PARC,ARC,ARC
Ardabil Airport,38.32569885,48.42440033,4315,AS,IR,IR-03,Ardabil,OITL,ADU,
Ardmore Airport,-37.02970123,174.9730072,111,OC,NZ,NZ-AUK,Manurewa,NZAR,AMZ,
Area De Material Airport,-33.08509827,-64.26129913,1380,SA,AR,AR-X,Rio Cuarto,SAOC,RCU,TRC
Arkansas International Airport,35.96429825,-89.94400024,254,NA,US,US-AR,Blytheville,KBYH,BYH,BYH
Armidale Airport,-30.52809906,151.6170044,3556,OC,AU,AU-NSW,Armidale,YARM,ARM,
Armilla Airport,37.1332016,-3.635689974,2297,EU,ES,ES-AN,Armilla,LEGA,,
Armstrong Airport,50.29029846,-88.90969849,1058,NA,CA,CA-ON,Armstrong,CYYW,YYW,
Arnold Palmer Regional Airport,40.27590179,-79.40480042,1199,NA,US,US-PA,Latrobe,KLBE,LBE,LBE
Arrachart Airport,-12.34939957,49.29169846,374,AF,MG,MG-D,,FMNA,DIE,
Arthur's Town Airport,24.62940025,-75.67379761,18,NA,BS,BS-CI,Arthur's Town,MYCA,ATC,
Arturo Michelena International Airport,10.14973259,-67.92839813,1411,SA,VE,VE-G,Valencia,SVVA,VLN,
Arua Airport,3.049999952,30.91699982,3951,AF,UG,UG-303,Arua,HUAR,RUA,
Arusha Airport,-3.367789984,36.63330078,4550,AF,TZ,TZ-01,Arusha,HTAR,ARK,
Arutua Airport,-15.2482996,-146.6170044,9,OC,PF,PF-U-A,,NTGU,AXR,
Arvaikheer Airport,46.25030136,102.802002,5932,AS,MN,MN-055,Arvaikheer,ZMAH,AVK,
Arviat Airport,61.09420013,-94.07080078,32,NA,CA,CA-NU,Arviat,CYEK,YEK,
Arvidsjaur Airport,65.59030151,19.28190041,1245,EU,SE,SE-BD,Arvidsjaur,ESNX,AJR,
Asaba International Airport,6.203333333,6.658888889,305,AF,NG,NG-DE,Asaba,DNAS,ABB,
Asahikawa Airport,43.67079926,142.4470062,721,AS,JP,JP-01,Asahikawa / Hokkaidō,RJEC,AKJ,
Asahikawa Airport,43.79520035,142.3630066,377,AS,JP,JP-01,,RJCA,,
Asaloyeh Airport,27.48139954,52.6155014,15,AS,IR,IR-06,Asaloyeh,OIBI,AOY,OI15
Ashgabat Airport,37.98680115,58.36100006,692,AS,TM,TM-A,Ashgabat,UTAA,ASB,
Ashiya Airport,33.8830986,130.6529999,98,AS,JP,JP-40,,RJFA,,
Asmara International Airport,15.29189968,38.91070175,7661,AF,ER,ER-SK,Asmara,HHAS,ASM,
Asosa Airport,10.01850033,34.5862999,5100,AF,ET,ET-BE,Asosa,HASO,ASO,
Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,7820,NA,US,US-CO,Aspen,KASE,ASE,ASE
Assab International Airport,13.07180023,42.64500046,46,AF,ER,ER-DK,Asab,HHSB,ASA,
Assiut International Airport,27.04649925,31.01199913,772,AF,EG,EG-WAD,Assiut,HEAT,ATZ,
Astoria Regional Airport,46.15800095,-123.8789978,15,NA,US,US-OR,Astoria,KAST,AST,AST
Astrakhan Airport,46.28329849,48.00630188,-65,EU,RU,RU-AST,Astrakhan,URWA,ASF,
Asturias Airport,43.56359863,-6.034619808,416,EU,ES,ES-O,Ranón,LEAS,OVD,
Aswan International Airport,23.96439934,32.81999969,662,AF,EG,EG-ASN,Aswan,HESN,ASW,
Ataq Airport,14.55130005,46.82619858,3735,AS,YE,YE-AB,,OYAT,AXK,
Atar International Airport,20.5067997,-13.04319954,734,AF,MR,MR-07,Atar,GQPA,ATR,
Athens Ben Epps Airport,33.94860077,-83.32630157,808,NA,US,US-GA,Athens,KAHN,AHN,AHN
Atikokan Municipal Airport,48.77389908,-91.63860321,1408,NA,CA,CA-ON,Atikokan,CYIB,YIB,
Atlantic City International Airport,39.45759964,-74.57720184,75,NA,US,US-NJ,Atlantic City,KACY,ACY,ACY
